club,attacking_assists,attacking_corner_taken,attacking_offsides,attacking_dribbles,defending_balls_recoverd,defending_tackles,defending_t_won,defending_clearance_attempted,disciplinary_fouls_committed,disciplinary_fouls_suffered,disciplinary_red,disciplinary_yellow,goals_goals,goals_penalties,attempts_on_target,attempts_off_target,attempts_blocked,distributon_pass_accuracy,distributon_cross_accuracy
Manchester United,2.75,3.25,1.5,4.0,13.208333333333334,3.5416666666666665,1.7083333333333333,5.458333333333333,3.8095238095238093,4.095238095238095,0.8095238095238095,0.047619047619047616,1.7142857142857142,0.0,1.9047619047619047,1.380952380952381,0.9047619047619048,82.17272727272727,17.727272727272727
Milan,1.0,0.6,1.4,9.2,13.55,3.7,1.7,5.9,3.65,4.05,0.8,0.05,1.0,0.0,0.8421052631578947,1.2105263157894737,0.47368421052631576,80.275,22.75
Paris Saint-Germain,1.75,4.75,2.5,18.25,16.470588235294116,6.529411764705882,2.9411764705882355,7.9411764705882355,4.75,6.5625,1.1875,0.0,3.0,0.4,2.7857142857142856,2.2142857142857144,1.5714285714285714,86.0611111111111,10.277777777777779
Porto,1.0,0.3333333333333333,0.6666666666666666,3.3333333333333335,13.277777777777779,4.444444444444445,1.5,6.277777777777778,5.529411764705882,4.411764705882353,1.0,0.11764705882352941,1.0,0.5,1.5625,2.0,1.5625,78.81764705882354,15.588235294117647
Real Madrid,2.1,2.1,1.9,16.5,24.476190476190474,7.904761904761905,3.619047619047619,8.952380952380953,6.666666666666667,8.277777777777779,1.3888888888888888,0.0,4.666666666666667,0.5,3.8333333333333335,3.4444444444444446,2.6666666666666665,85.83888888888889,19.333333333333332
Salzburg,1.2,4.4,1.6,9.8,19.42105263157895,6.105263157894737,2.3157894736842106,8.0,8.0625,5.375,0.9375,0.0,1.6666666666666667,0.5,2.466666666666667,1.8,1.6666666666666667,70.25333333333333,14.733333333333333
Sevilla,1.0,2.6666666666666665,0.3333333333333333,5.666666666666667,14.31578947368421,2.6842105263157894,0.9473684210526315,3.3684210526315788,4.052631578947368,4.473684210526316,1.0526315789473684,0.10526315789473684,1.25,0.5,1.4375,1.9375,1.0625,81.42777777777778,22.61111111111111
Shakhtar Donetsk,1.0,2.0,0.0,2.5,10.45,2.05,0.7,4.1,3.2,2.55,0.25,0.0,2.0,0.0,1.105263157894737,1.9473684210526316,1.2105263157894737,86.935,11.35
Sheriff,1.6666666666666667,3.0,0.6666666666666666,7.0,14.125,6.3125,2.375,11.4375,4.571428571428571,3.5,0.9285714285714286,0.0,1.4,0.0,1.4285714285714286,1.7142857142857142,0.7142857142857143,74.94666666666667,12.733333333333333
Sporting CP,1.5,1.5,0.8333333333333334,7.333333333333333,13.380952380952381,5.523809523809524,2.4285714285714284,5.9523809523809526,4.722222222222222,6.0,0.9444444444444444,0.0,2.0,0.2857142857142857,1.7222222222222223,1.7222222222222223,0.9444444444444444,76.655,14.3
Villarreal,2.2857142857142856,5.714285714285714,1.5714285714285714,10.571428571428571,21.0,5.954545454545454,2.4545454545454546,12.454545454545455,5.2272727272727275,5.090909090909091,1.0909090909090908,0.09090909090909091,1.6666666666666667,0.16666666666666666,2.3684210526315788,2.3684210526315788,1.3157894736842106,78.83,18.9
Wolfsburg,2.0,5.0,0.0,0.5,14.444444444444445,2.8333333333333335,1.5,8.444444444444445,5.176470588235294,3.764705882352941,1.4705882352941178,0.11764705882352941,1.6666666666666667,0.0,0.7333333333333333,1.4666666666666666,0.7333333333333333,73.06842105263158,15.578947368421053
Young Boys,1.0,4.5,0.0,11.25,14.578947368421053,4.2631578947368425,2.0,4.421052631578948,5.117647058823529,2.4705882352941178,0.6470588235294118,0.0,1.1666666666666667,0.0,1.3157894736842106,2.1052631578947367,0.8947368421052632,80.17777777777778,14.555555555555555
Zenit,1.3333333333333333,3.0,1.0,4.333333333333333,12.736842105263158,3.526315789473684,1.6842105263157894,6.7368421052631575,3.125,4.0,0.5625,0.0625,1.2857142857142858,0.14285714285714285,1.5,1.6111111111111112,1.3333333333333333,83.90588235294118,21.529411764705884
